book,name,ingredient,unit,amount
Liquid Intelligence,Blood and Sand,Cheery Heering,oz,0.75
Liquid Intelligence,Blood and Sand,orange juice,oz,0.5
Liquid Intelligence,Blood and Sand,orange twist,garnish,1
Liquid Intelligence,Whiskey Sour,rye whiskey,oz,2
Liquid Intelligence,Whiskey Sour,egg white,oz,1
Liquid Intelligence,Whiskey Sour,simple syrup,oz,0.75
Liquid Intelligence,Whiskey Sour,lemon juice,oz,0.625
Liquid Intelligence,Whiskey Sour,salt,pinch,1
Liquid Intelligence,Pisco Sour,pisco,oz,2
Liquid Intelligence,Pisco Sour,egg white,oz,1
Liquid Intelligence,Pisco Sour,simple syrup,oz,0.75
Liquid Intelligence,Pisco Sour,lime juice,oz,0.75
Liquid Intelligence,Pisco Sour,Angostura bitters,drops,3
Bitters,Champagne Cocktail,champagne,oz,5
Bitters,Champagne Cocktail,sugar,cube,1
Bitters,Champagne Cocktail,Angostura bitters,dashes,5
Bitters,Champagne Cocktail,lemon twist,garnish,1
Bitters,Sazerac,rye whiskey,oz,2
Bitters,Sazerac,simple syrup,oz,0.25
Bitters,Sazerac,Peychaud's bitters,dashes,4
Bitters,Sazerac,absinthe,rinse,1
Bitters,Sazerac,lemon peel,garnish,1
Bitters,Abbey Cocktail,gin,oz,1.5
Bitters,Abbey Cocktail,Lillet Blanc,oz,0.75
Bitters,Abbey Cocktail,orange juice,oz,0.75
Bitters,Abbey Cocktail,orange bitters,dashes,2
Bitters,Abbey Cocktail,cherry,garnish,1
Bitters,Alaska Cocktail,gin,oz,1.5
Bitters,Alaska Cocktail,Yellow Chartreuse,oz,0.75
Bitters,Alaska Cocktail,orange bitters,dash,1
Bitters,Alaska Cocktail,lemon twist,garnish,1
Bitters,Angostura Fizz,Angostura bitters,oz,1
Bitters,Angostura Fizz,lime juice,oz,1
Bitters,Angostura Fizz,simple syrup,oz,0.25
Bitters,Angostura Fizz,grenadine,oz,0.25
Bitters,Angostura Fizz,heavy cream,oz,0.5
Bitters,Angostura Fizz,egg white,each,1
Bitters,Angostura Fizz,soda water,top,1
Bitters,Corn 'n' Oil,blackstrap rum,oz,2
Bitters,Corn 'n' Oil,falernum,oz,0.5
Bitters,Corn 'n' Oil,lime juice,oz,0.25
Bitters,Corn 'n' Oil,Angostura bitters,dashes,3
Bitters,Corn 'n' Oil,lime wedge,garnish,1
Bitters,Harvard Cocktail,cognac,oz,1.5
Bitters,Harvard Cocktail,sweet vermouth,oz,0.75
Bitters,Harvard Cocktail,lemon juice,oz,0.25
Bitters,Harvard Cocktail,grenadine,teaspoon,1
Bitters,Harvard Cocktail,Angostura bitters,dashes,3
Bitters,Harvard Cocktail,lemon twist,garnish,1
Bitters,Japanese Cocktail,cognac,oz,2 
Bitters,Japanese Cocktail,orgeat,oz,0.5
Bitters,Japanese Cocktail,Angostura bitters,dashes,3
Bitters,Japanese Cocktail,lemon twist,garnish,1
Bitters,Old Hickory,sweet vermouth,oz,1.5
Bitters,Old Hickory,dry vermouth,oz,1.5
Bitters,Old Hickory,Peychaud's bitters,dash,1
Bitters,Old Hickory,orange bitters,dash,1
Bitters,Old Hickory,lemon twist,garnish,1
Bitters,Pink Gin,gin,oz,2
Bitters,Pink Gin,Angostura bitters,dashes,5
Bitters,Scofflaw Cocktail,rye whiskey,oz,1.5
Bitters,Scofflaw Cocktail,dry vermouth,oz,1
Bitters,Scofflaw Cocktail,lemon juice,oz,0.75
Bitters,Scofflaw Cocktail,grenadine,oz,0.75
Bitters,Scofflaw Cocktail,orange bitter,dash,1
Bitters,Scofflaw Cocktail,orange twist,garnish,1
Bitters,Seelbach Cocktail,bourbon whiskey,oz,1
Bitters,Seelbach Cocktail,Cointreau,oz,0.5
Bitters,Seelbach Cocktail,Angostura bitters,dashes,7
Bitters,Seelbach Cocktail,Peychaud's bitters,dashes,7
Bitters,Seelbach Cocktail,champagne,oz,2
Bitters,Seelbach Cocktail,orange twist,garnish,1
Bitters,Toronto,rye whiskey,oz,2
Bitters,Toronto,Fernet Branca,oz,0.25
Bitters,Toronto,simple syrup,oz,0.25
Bitters,Toronto,Angostura bitters,dashes,2
Bitters,Toronto,orange twist,garnish,1
Bitters,The Bitter Handshake,Fernet Branca,oz,1
Bitters,The Bitter Handshake,blood orange juice reduction,oz,1
Bitters,The Bitter Handshake,rye whiskey simple syrup,oz,1
Bitters,The Bitter Handshake,orange spiral,garnish,1
Bitters,Black Feather,cognac,oz,2
Bitters,Black Feather,dry vermouth,oz,1
Bitters,Black Feather,Cointreau,oz,0.5
Bitters,Black Feather,Angostura bitters,dash,1
Bitters,Cricket Ball,sugar,cube,1
Bitters,Cricket Ball,Peychaud's bitters,dashes,3
Bitters,Cricket Ball,Fee Brothers rhubarb bitters,dashes,3
Bitters,Cricket Ball,Lillet Rouge,oz,1
Bitters,Cricket Ball,champagne,oz,3
Bitters,Cricket Ball,lemon twist,garnish,1
Bitters,Gargoyle and Spire,gin,oz,1
Bitters,Gargoyle and Spire,Strega,oz,0.75
Bitters,Gargoyle and Spire,simple syrup,oz,0.25
Bitters,Gargoyle and Spire,orange bitters,dashes,2
Bitters,Gargoyle and Spire,champagne,oz,2
Bitters,Gargoyle and Spire,orange twist,garnish,1
Bitters,Sawyer,gin,oz,2
Bitters,Sawyer,lime juice,oz,0.5
Bitters,Sawyer,simple syrup,oz,0.5
Bitters,Sawyer,Angostura bitters,dashes,14
Bitters,Sawyer,Peychaud's bitters,dashes,7
Bitters,Sawyer,orange bitters,dashes,7
Bitters,Trident,dry sherry,oz,1
Bitters,Trident,Cynar,oz,1
Bitters,Trident,aquavit,oz,1
Bitters,Trident,Fee Brothers peach bitters,dashes,2
Bitters,Zim Zala Bim,reposado tequila,oz,2
Bitters,Zim Zala Bim,orange bitters,teaspoons,2
Bitters,Zim Zala Bim,St Germain,teaspoons,2
Bitters,Zim Zala Bim,sugar,teaspoons,1
Bitters,Zim Zala Bim,lemon twist,garnish,1
Lampo,Bitter Guiseppe,Cynar,oz,2
Lampo,Bitter Guiseppe,sweet vermouth,oz,1
Lampo,Bitter Guiseppe,lemon juice,oz,0.25
Lampo,Bitter Guiseppe,orange bitter,dashes,6
Punch,Ramos Gin Fizz,Old Tom gin,oz,1.5
Punch,Ramos Gin Fizz,egg white,each,1
Punch,Ramos Gin Fizz,heavy cream,oz,1
Punch,Ramos Gin Fizz,orange flower water,dashes,3
Punch,Ramos Gin Fizz,simple syrup,oz,0.5
Punch,Ramos Gin Fizz,lemon juice,oz,0.5
Punch,Ramos Gin Fizz,lime juice,oz,0.5
Punch,Ramos Gin Fizz,soda water,oz,1
Punch,Ramos Gin Fizz,orange wheel,garnish,1
Punch,Alabazam,cognac,oz,1.5
Punch,Alabazam,Cointreau,oz,0.5
Punch,Alabazam,Angostura bitters,oz,0.25
Punch,Alabazam,lemon juice,oz,0.25
Punch,Alabazam,simple syrup,oz,0.25
