stat,value,year
KDFwolfFa,5.7,23
008rabbitNum,281.0,23
008rabbitEn,33.5,23
008rabbitRe,47.3,23
008rabbitFa,6.3,23
KDFrabbitNum,47.0,23
KDFrabbitEn,187.2,23
KDFrabbitRe,348.1,23
KDFrabbitFa,7.2,23
008wolfNum,5.0,23
008wolfEn,770.2,23
008wolfRe,1042.1,23
008wolfFa,5.1,23
2UDrabbitNum,315.0,23
2UDrabbitEn,61.0,23
2UDrabbitRe,64.5,23
2UDrabbitFa,6.5,23
2UDwolfNum,2.0,23
2UDwolfEn,1747.2,23
2UDwolfRe,2254.2,23
2UDwolfFa,5.2,23
grassNum,771.0,24
grassEn,156.8,24
grassRe,129.0,24
grassFa,2.3,24
KDFwolfNum,16.0,24
KDFwolfEn,234.2,24
KDFwolfRe,547.8,24
KDFwolfFa,5.7,24
008rabbitNum,288.0,24
008rabbitEn,32.7,24
008rabbitRe,46.7,24
008rabbitFa,6.2,24
KDFrabbitNum,52.0,24
KDFrabbitEn,194.1,24
KDFrabbitRe,347.9,24
KDFrabbitFa,7.1,24
008wolfNum,5.0,24
008wolfEn,789.3,24
008wolfRe,1042.1,24
008wolfFa,5.1,24
2UDrabbitNum,374.0,24
2UDrabbitEn,59.4,24
2UDrabbitRe,64.6,24
2UDrabbitFa,6.6,24
2UDwolfNum,3.0,24
2UDwolfEn,1474.7,24
2UDwolfRe,2253.7,24
2UDwolfFa,5.2,24
grassNum,702.0,25
grassEn,161.8,25
grassRe,128.9,25
grassFa,2.2,25
KDFwolfNum,16.0,25
KDFwolfEn,246.3,25
KDFwolfRe,547.8,25
KDFwolfFa,5.7,25
008rabbitNum,290.0,25
008rabbitEn,33.5,25
008rabbitRe,46.4,25
008rabbitFa,6.0,25
KDFrabbitNum,60.0,25
KDFrabbitEn,171.2,25
KDFrabbitRe,348.2,25
KDFrabbitFa,6.9,25
008wolfNum,5.0,25
008wolfEn,822.1,25
008wolfRe,1042.1,25
008wolfFa,5.1,25
2UDrabbitNum,414.0,25
2UDrabbitEn,61.1,25
2UDrabbitRe,64.8,25
2UDrabbitFa,6.5,25
2UDwolfNum,3.0,25
