tests,years,firstExt,firstExtSTD,deadWorld,deadWorldSTD,id,wolfEn,wolfRe,wolfFa,rabbitEn,rabbitRe,rabbitFa,wolfNum,rabbitNum,grassNum,debrisNum
1, 500, 101.0, 0.0, 101.0, 0.0, 'OCDP04', 249, 362, 5, 92, 122, 5, 7, 31, 7, 43
1, 500, 500.0, 0.0, 500.0, 0.0, 'C5NTIL', 264, 350, 17, 100, 114, 5, 8, 30, 7, 41
1, 500, 500.0, 0.0, 500.0, 0.0, '0Q6NLU', 259, 356, 17, 98, 107, 6, 8, 29, 6, 40
1, 500, 185.0, 0.0, 185.0, 0.0, 'ZYGWH1', 258, 365, 13, 94, 114, 5, 11, 32, 11, 42
1, 500, 218.0, 0.0, 218.0, 0.0, '57ZJ79', 263, 347, 18, 87, 117, 5, 7, 29, 10, 42
1, 500, 266.0, 0.0, 266.0, 0.0, '9P7EHE', 256, 350, 12, 91, 133, 5, 5, 30, 8, 39
1, 500, 312.0, 0.0, 312.0, 0.0, 'ZMRU7G', 257, 348, 15, 102, 140, 5, 5, 28, 7, 51
1, 500, 500.0, 0.0, 500.0, 0.0, 'K9QDGP', 263, 337, 16, 93, 138, 5, 1, 29, 2, 40
1, 500, 500.0, 0.0, 500.0, 0.0, 'R7CRMV', 251, 349, 13, 93, 135, 5, 1, 29, 2, 52
1, 500, 66.0, 0.0, 66.0, 0.0, '74PLG5', 260, 347, 16, 105, 127, 5, 1, 30, 7, 53
1, 500, 500.0, 0.0, 500.0, 0.0, '9P0IPG', 267, 350, 19, 100, 110, 5, 1, 26, 2, 47
1, 500, 179.0, 0.0, 179.0, 0.0, 'J8YPDB', 275, 354, 18, 96, 109, 5, 4, 29, 6, 47
1, 500, 189.0, 0.0, 189.0, 0.0, '6KJRI2', 253, 344, 11, 78, 136, 5, 3, 31, 5, 47
1, 500, 500.0, 0.0, 500.0, 0.0, '3S6MIA', 269, 342, 10, 88, 136, 5, 6, 26, 3, 43
1, 500, 166.0, 0.0, 166.0, 0.0, 'VISYV3', 245, 346, 12, 88, 130, 5, 9, 32, 8, 53
1, 500, 500.0, 0.0, 500.0, 0.0, 'M5CORO', 256, 359, 14, 91, 133, 5, 8, 29, 5, 48
1, 500, 500.0, 0.0, 500.0, 0.0, 'H34UHP', 243, 355, 14, 96, 129, 5, 14, 28, 7, 44
1, 500, 196.0, 0.0, 196.0, 0.0, 'UWO3UA', 258, 350, 11, 97, 128, 5, 10, 31, 2, 53
1, 500, 500.0, 0.0, 500.0, 0.0, 'ORA6HP', 257, 357, 12, 99, 122, 5, 15, 29, 1, 37
1, 500, 15.0, 0.0, 15.0, 0.0, 'AQ9M8B', 258, 351, 16, 87, 130, 5, 19, 31, 6, 43
1, 500, 18.0, 0.0, 18.0, 0.0, 'MEWNEP', 258, 358, 10, 99, 108, 5, 18, 39, 5, 41
1, 500, 106.0, 0.0, 106.0, 0.0, 'P3F47N', 242, 352, 5, 107, 117, 6, 17, 36, 4, 53
1, 500, 92.0, 0.0, 92.0, 0.0, 'L3WLZM', 253, 363, 5, 110, 121, 5, 17, 27, 1, 43
1, 500, 500.0, 0.0, 500.0, 0.0, 'P46X9E', 240, 344, 5, 93, 114, 8, 17, 29, 1, 41
1, 500, 261.0, 0.0, 261.0, 0.0, 'E7XVZH', 239, 349, 7, 94, 118, 6, 17, 30, 3, 39
1, 500, 28.0, 0.0, 28.0, 0.0, 'LSO1WW', 231, 339, 5, 101, 111, 5, 19, 30, 1, 30
1, 500, 500.0, 0.0, 500.0, 0.0, '9KFY8M', 235, 346, 11, 95, 114, 5, 17, 25, 1, 36
1, 500, 500.0, 0.0, 500.0, 0.0, 'XN89TN', 241, 343, 8, 84, 123, 5, 20, 28, 5, 36
1, 500, 21.0, 0.0, 21.0, 0.0, 'O4QPBP', 243, 345, 6, 86, 127, 5, 17, 33, 1, 41
1, 500, 31.0, 0.0, 31.0, 0.0, 'PRAPD9', 244, 345, 5, 82, 123, 5, 17, 29, 6, 39
1, 500, 22.0, 0.0, 22.0, 0.0, 'RO1I6X', 236, 349, 5, 89, 111, 9, 17, 28, 7, 40
1, 500, 24.0, 0.0, 24.0, 0.0, '7PU985', 243, 344, 11, 98, 108, 5, 17, 27, 12, 33
1, 500, 500.0, 0.0, 500.0, 0.0, 'XI2NQ0', 257, 354, 5, 96, 112, 5, 21, 25, 6, 44
1, 500, 110.0, 0.0, 110.0, 0.0, 'FEZZLZ', 262, 356, 5, 91, 117, 5, 20, 28, 4, 42
1, 500, 222.0, 0.0, 222.0, 0.0, 'AX8AZD', 277, 341, 11, 92, 114, 5, 18, 23, 7, 38
